"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,395,32.8873828504
,,395.5,32.9199893528
,,396,32.9585328794
,,396.5,32.9867052019
,,397,33.0356479836
,,397.5,33.0771871103
,,398,33.1380321434
,,398.5,33.1989009895
,,399,33.2553374599
,,399.5,33.3236831322
,,400,33.3771924953
,,400.5,33.4351823985
,,401,33.4857560155
,,401.5,33.5363468186
,,402,33.5795114677
,,402.5,33.6152435089
,,403,33.6628997936
,,403.5,33.7031219073
,,404,33.7314330438
,,404.5,33.7657118429
,,405,33.8029806695
,,405.5,33.8342939737
,,406,33.8685973794
,,406.5,33.9029090612
,,407,33.9327520624
,,407.5,33.9655866532
,,408,33.9939499694
,,408.5,34.0253055772
,,409,34.0656302797
,,409.5,34.0984960917
,,410,34.1283808703
,,410.5,34.1672407598
,,411,34.2046164012
,,411.5,34.2449935613
,,412,34.2779023153
,,412.5,34.316804768
,,413,34.3557184183
,,413.5,34.3976380114
,,414,34.439570722
,,414.5,34.4875099693
,,415,34.5264733589
,,415.5,34.5804416491
,,416,34.626932107
,,416.5,34.6839429781
,,417,34.7259669874
,,417.5,34.7634999584
,,418,34.7950361003
,,418.5,34.8340915781
,,419,34.8671478318
,,419.5,34.8957033106
,,420,34.9393003623
,,420.5,34.9723840025
,,421,35.0069807229
,,421.5,35.0521211967
,,422,35.0912561114
,,422.5,35.1304033145
,,423,35.1620312184
,,423.5,35.2072279658
,,424,35.2403827802
,,424.5,35.2765618778
,,425,35.3127516713
,,425.5,35.3489522048
,,426,35.3746007716
,,426.5,35.4153478904
,,427,35.450069243
,,427.5,35.4817800956
,,428,35.5195420408
,,428.5,35.5558047296
,,429,35.5905668297
,,429.5,35.6328996468
,,430,35.6601215976
,,430.5,35.694914344
,,431,35.735771141
,,431.5,35.7690723975
,,432,35.8023831494
,,432.5,35.8311591941
,,433,35.8599423693
,,433.5,35.8872172381
,,434,35.9175302004
,,434.5,35.9433024877
,,435,35.9705970902
,,435.5,36.0024490059
,,436,36.0343097951
,,436.5,36.0692151623
,,437,36.0995763684
,,437.5,36.1360205529
,,438,36.170957261
,,438.5,36.2089442367
,,439,36.2363028163
,,439.5,36.2819153109
,,440,36.3260251205
,,440.5,36.3594994125
,,441,36.3929838187
,,441.5,36.4325693867
,,442,36.4782627336
,,442.5,36.5041640766
,,443,36.5392168313
,,443.5,36.5773304274
,,444,36.6078309203
,,444.5,36.6490201953
,,445,36.6734360575
,,445.5,36.7100702164
,,446,36.7344999196
,,446.5,36.761989983
,,447,36.7925427759
,,447.5,36.8169913015
,,448,36.8429740043
,,448.5,36.8766081023
,,449,36.9071938093
,,449.5,36.9347285043
,,450,36.9699221792
,,450.5,36.9974732611
,,451,37.0189068756
