"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,361.5,15.3326937684
,,362,15.3235353552
,,362.5,15.3189558332
,,363,15.3128494766
,,363.5,15.3052160045
,,364,15.2991088053
,,364.5,15.2930012313
,,365,15.286893282
,,365.5,15.2807849573
,,366,15.2716217656
,,366.5,15.2670398525
,,367,15.2594028602
,,367.5,15.2517652793
,,368,15.247182448
,,368.5,15.2425994046
,,369,15.2364883497
,,369.5,15.2303769172
,,370,15.228849
,,370.5,15.2196810007
,,371,15.2166248117
,,371.5,15.2120403509
,,372,15.1998140799
,,372.5,15.1937003756
,,373,15.1875862917
,,373.5,15.1830004796
,,374,15.1784144536
,,374.5,15.1707706017
,,375,15.1661840051
,,375.5,15.1631261551
,,376,15.1554811132
,,376.5,15.1508938022
,,377,15.1447770537
,,377.5,15.1447770537
,,378,15.1386599234
,,378.5,15.1340718251
,,379,15.1294835117
,,379.5,15.1248949832
,,380,15.1111281058
,,380.5,15.1111281058
,,381,15.1034790025
,,381.5,15.0973592883
,,382,15.0912391902
,,382.5,15.0866488646
,,383,15.0774675647
,,383.5,15.0728765902
,,384,15.0698158202
,,384.5,15.0606329325
,,385,15.059102367
,,385.5,15.0514491775
,,386,15.0499184672
,,386.5,15.0407336991
,,387,15.0407336991
,,387.5,15.0392028199
,,388,15.028485989
,,388.5,15.0238926988
,,389,15.0131741746
,,389.5,15.0055173592
,,390,15.000922979
,,390.5,14.9963283805
,,391,14.9993914705
,,391.5,14.9902019093
,,392,14.9840750494
,,392.5,14.9764159276
,,393,14.9702881923
,,393.5,14.9672241785
,,394,14.9641600674
,,394.5,14.9580315527
,,395,14.9549671491
,,395.5,14.9519026479
,,396,14.9457733527
,,396.5,14.9396436669
,,397,14.9381111844
,,397.5,14.9319810098
,,398,14.9258504441
,,398.5,14.9243177414
,,399,14.9181866862
,,399.5,14.9089893684
,,400,14.9074563963
,,400.5,14.9013242627
