"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,388.5,15.3967791847
,,389,15.3891521172
,,389.5,15.3830500459
,,390,15.3845755985
,,390.5,15.3754219347
,,391,15.3754219347
,,391.5,15.3708447893
,,392,15.3647416036
,,392.5,15.3601639701
,,393,15.3571120981
,,393.5,15.3525341156
,,394,15.3510080749
,,394.5,15.3479559236
,,395,15.3403251374
,,395.5,15.335746386
,,396,15.3326937684
,,396.5,15.3296410574
,,397,15.3235353552
,,397.5,15.3204823639
,,398,15.3159027017
,,398.5,15.311322829
,,399,15.3082694636
,,399.5,15.3052160045
,,400,15.2991088053
